2014-05-04 20:47:44 INFO  HUBEndPointsStatus:106 - ...total 1 endpoints found
2014-05-04 20:47:48 INFO  HUBEndPointsStatus:113 - ...total 1 alive endpoints found out of total 1
2014-05-04 20:47:48 INFO  HUBEndPointsStatus:258 - status code: 200 
2014-05-04 20:47:49 INFO  HUBEndPointsStatus:263 - sparql1.1 is supported by 'http://s4.semanticscience.org:14006/sparql' 
2014-05-04 20:47:49 INFO  HUBEndPointsStatus:414 - setting static dataset <#dataset>
2014-05-04 20:47:49 INFO  HUBEndPointsStatus:277 - query (1 for targeted endpoint 'http://s4.semanticscience.org:14006/sparql') is: 'PREFIX void: <http://rdfs.org/ns/void#> CONSTRUCT { <datasetUri> void:propertyPartition [ void:property ?p ] } WHERE { ?s ?p ?o }' 
2014-05-04 20:47:50 INFO  HUBEndPointsStatus:281 - ONE second delay before query exeution
2014-05-04 20:47:50 INFO  HUBEndPointsStatus:729 - query #1. execution start time 2014-05-04T19:47:50.481Z 
2014-05-04 20:47:50 INFO  HUBEndPointsStatus:292 - query #1. first_result_timeout is 60000 and execution_timeout is 900000
2014-05-04 21:39:13 INFO  HUBEndPointsStatus:106 - ...total 3 endpoints found
2014-05-04 21:39:15 INFO  HUBEndPointsStatus:113 - ...total 3 alive endpoints found out of total 3
2014-05-04 21:39:15 INFO  HUBEndPointsStatus:258 - status code: 200 
2014-05-04 21:39:15 WARN  XMLInputStAX$ResultSetStAX:78 - StAX error: Unknown XML element: error
2014-05-04 21:39:15 WARN  HUBEndPointsStatus:266 - sparql1.1 is not supported by 'http://roma.rkbexplorer.com/sparql/' 
2014-05-04 21:39:15 INFO  HUBEndPointsStatus:414 - setting static dataset <#dataset>
2014-05-04 21:39:15 INFO  HUBEndPointsStatus:277 - query (1 for targeted endpoint 'http://roma.rkbexplorer.com/sparql/') is: 'PREFIX void: <http://rdfs.org/ns/void#> CONSTRUCT { <datasetUri> void:propertyPartition [ void:property ?p ] } WHERE { ?s ?p ?o }' 
2014-05-04 21:39:16 INFO  HUBEndPointsStatus:281 - ONE second delay before query exeution
2014-05-04 21:39:16 INFO  HUBEndPointsStatus:729 - query #1. execution start time 2014-05-04T20:39:16.357Z 
2014-05-04 21:39:16 INFO  HUBEndPointsStatus:292 - query #1. first_result_timeout is 60000 and execution_timeout is 900000
2014-05-04 21:39:16 WARN  riot:77 - [line: 2, col: 131] {W107} Bad URI: <3store:default#> Code: 10/SCHEME_MUST_START_WITH_LETTER in SCHEME: The scheme component must start with a letter.
2014-05-04 21:39:16 WARN  riot:77 - [line: 4, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:16 WARN  riot:77 - [line: 6, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 10, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 12, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 16, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 18, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 22, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 24, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 28, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 30, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 34, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 36, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 40, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 42, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 46, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 48, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 52, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 54, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 58, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 60, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 64, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 66, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 70, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 72, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 76, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 78, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 82, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 84, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 88, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 90, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 94, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 96, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 100, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 102, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 106, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 108, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 112, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 114, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 118, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 120, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 124, col: 44] {W108} Not an XML Name: ''
